"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
25.0,0.06637996435165405,0.0015976144715478247,"train",27240.0,"2021-11-22 09:44:27.055834","","","","","","",""
25.0,0.053714651614427567,0.001596273455812894,"train",27260.0,"2021-11-22 09:44:32.240943","","","","","","",""
25.0,0.06728068739175797,0.001594930774144901,"train",27280.0,"2021-11-22 09:44:36.888785","","","","","","",""
25.0,0.0310173649340868,0.0015935864302952009,"train",27300.0,"2021-11-22 09:44:41.704592","","","","","","",""
25.0,0.03387356549501419,0.0015922404280197908,"train",27320.0,"2021-11-22 09:44:46.585492","","","","","","",""
25.0,0.047214582562446594,0.0015908927710793033,"train",27340.0,"2021-11-22 09:44:51.520623","","","","","","",""
25.0,0.04794011265039444,0.0015895434632389913,"train",27360.0,"2021-11-22 09:44:56.911786","","","","","","",""
25.0,0.05361836031079292,0.001588192508268723,"train",27380.0,"2021-11-22 09:45:01.657984","","","","","","",""
25.0,0.03326813131570816,0.001586839909942967,"train",27400.0,"2021-11-22 09:45:06.328461","","","","","","",""
25.0,0.036875661462545395,0.0015854856720407835,"train",27420.0,"2021-11-22 09:45:11.054073","","","","","","",""
25.0,0.05721772462129593,0.001584129798345814,"train",27440.0,"2021-11-22 09:45:15.793424","","","","","","",""
25.0,0.054474130272865295,0.00158277229264627,"train",27460.0,"2021-11-22 09:45:21.105599","","","","","","",""
25.0,0.029769398272037506,0.0015814131587349224,"train",27480.0,"2021-11-22 09:45:25.807289","","","","","","",""
25.0,0.03884422779083252,0.001580052400409092,"train",27500.0,"2021-11-22 09:45:30.490829","","","","","","",""
25.0,0.02603161893785,0.0015786900214706371,"train",27520.0,"2021-11-22 09:45:35.358807","","","","","","",""
25.0,0.03018440306186676,0.0015773260257259448,"train",27540.0,"2021-11-22 09:45:40.849001","","","","","","",""
25.0,0.055259473621845245,0.0015759604169859186,"train",27560.0,"2021-11-22 09:45:45.879300","","","","","","",""
25.0,0.02824247069656849,0.0015745931990659694,"train",27580.0,"2021-11-22 09:45:50.810495","","","","","","",""
25.0,0.05284914746880531,0.0015732243757860035,"train",27600.0,"2021-11-22 09:45:55.768200","","","","","","",""
25.0,0.05291055142879486,0.0015718539509704125,"train",27620.0,"2021-11-22 09:46:00.436599","","","","","","",""
25.0,0.05889945104718208,0.0015704819284480627,"train",27640.0,"2021-11-22 09:46:05.841794","","","","","","",""
25.0,0.05972554534673691,0.0015691083120522842,"train",27660.0,"2021-11-22 09:46:10.567524","","","","","","",""
25.0,0.03219589963555336,0.0015677331056208608,"train",27680.0,"2021-11-22 09:46:15.364769","","","","","","",""
25.0,0.07263209670782089,0.0015663563129960176,"train",27700.0,"2021-11-22 09:46:20.184624","","","","","","",""
25.0,0.05678984895348549,0.0015649779380244126,"train",27720.0,"2021-11-22 09:46:25.014921","","","","","","",""
25.0,0.026436833664774895,0.0015635979845571239,"train",27740.0,"2021-11-22 09:46:30.530452","","","","","","",""
25.0,0.030968621373176575,0.00156221645644964,"train",27760.0,"2021-11-22 09:46:35.450832","","","","","","",""
25.0,0.07073018699884415,0.0015608333575618495,"train",27780.0,"2021-11-22 09:46:40.318011","","","","","","",""
25.0,0.06031893193721771,0.0015594486917580286,"train",27800.0,"2021-11-22 09:46:45.215436","","","","","","",""
25.0,0.046478450298309326,0.001558062462906832,"train",27820.0,"2021-11-22 09:46:49.928517","","","","","","",""
25.0,0.03977387025952339,0.0015566746748812811,"train",27840.0,"2021-11-22 09:46:55.259879","","","","","","",""
25.0,0.03452945500612259,0.001555285331558754,"train",27860.0,"2021-11-22 09:47:00.145647","","","","","","",""
25.0,0.0383572094142437,0.0015538944368209738,"train",27880.0,"2021-11-22 09:47:04.918884","","","","","","",""
25.0,0.06158868223428726,0.001552501994553998,"train",27900.0,"2021-11-22 09:47:09.722834","","","","","","",""
25.0,0.03308622166514397,0.0015511080086482087,"train",27920.0,"2021-11-22 09:47:14.378061","","","","","","",""
25.0,"","","train",27924.0,"2021-11-22 09:49:02.939162",0.6991049989085353,0.777439308051783,0.9823561553408239,0.7447405502666038,0.6642385962370381,0.6934756928071224,0.48765641369678636
25.0,"","","val",27924.0,"2021-11-22 09:49:32.786708",0.6299431752290386,0.6437630709821042,0.9613438167506944,0.6671088775854234,0.5708333597195312,0.5948430846798514,0.38193136280339385
26.0,0.06648696959018707,0.001549712482998299,"train",27940.0,"2021-11-22 09:49:40.117095","","","","","","",""
26.0,0.03388724848628044,0.0015483154215032663,"train",27960.0,"2021-11-22 09:49:44.986880","","","","","","",""
26.0,0.03135504201054573,0.0015469168280663969,"train",27980.0,"2021-11-22 09:49:49.814959","","","","","","",""
26.0,0.03746851906180382,0.0015455167065952585,"train",28000.0,"2021-11-22 09:49:54.714052","","","","","","",""
26.0,0.01973680406808853,0.0015441150610016878,"train",28020.0,"2021-11-22 09:49:59.618470","","","","","","",""
26.0,0.04082769155502319,0.001542711895201779,"train",28040.0,"2021-11-22 09:50:05.167856","","","","","","",""
26.0,0.07235430926084518,0.0015413072131158752,"train",28060.0,"2021-11-22 09:50:10.143928","","","","","","",""
26.0,0.03875410184264183,0.001539901018668554,"train",28080.0,"2021-11-22 09:50:15.120470","","","","","","",""
26.0,0.030905229970812798,0.0015384933157886202,"train",28100.0,"2021-11-22 09:50:19.998952","","","","","","",""
26.0,0.059248920530080795,0.001537084108409092,"train",28120.0,"2021-11-22 09:50:24.856707","","","","","","",""
26.0,0.06550031155347824,0.0015356734004671906,"train",28140.0,"2021-11-22 09:50:30.264683","","","","","","",""
26.0,0.023136897012591362,0.0015342611959043317,"train",28160.0,"2021-11-22 09:50:34.980002","","","","","","",""
26.0,0.05905629321932793,0.0015328474986661099,"train",28180.0,"2021-11-22 09:50:39.800733","","","","","","",""
26.0,0.03194299340248108,0.0015314323127022923,"train",28200.0,"2021-11-22 09:50:44.625664","","","","","","",""
26.0,0.06454546749591827,0.001530015641966804,"train",28220.0,"2021-11-22 09:50:49.504803","","","","","","",""
26.0,0.0360059030354023,0.0015285974904177193,"train",28240.0,"2021-11-22 09:50:54.954091","","","","","","",""
26.0,0.036967683583498,0.001527177862017249,"train",28260.0,"2021-11-22 09:50:59.901834","","","","","","",""
26.0,0.021045519039034843,0.0015257567607317312,"train",28280.0,"2021-11-22 09:51:04.548206","","","","","","",""
26.0,0.040781475603580475,0.001524334190531618,"train",28300.0,"2021-11-22 09:51:09.206221","","","","","","",""
26.0,0.058123454451560974,0.0015229101553914666,"train",28320.0,"2021-11-22 09:51:13.831774","","","","","","",""
26.0,0.049873802810907364,0.0015214846592899256,"train",28340.0,"2021-11-22 09:51:19.140475","","","","","","",""
26.0,0.03323567286133766,0.0015200577062097279,"train",28360.0,"2021-11-22 09:51:23.850584","","","","","","",""
26.0,0.0560576468706131,0.0015186293001376741,"train",28380.0,"2021-11-22 09:51:28.613362","","","","","","",""
26.0,0.030982686206698418,0.0015171994450646268,"train",28400.0,"2021-11-22 09:51:33.309951","","","","","","",""
26.0,0.052417125552892685,0.001515768144985495,"train",28420.0,"2021-11-22 09:51:37.942098","","","","","","",""
26.0,0.04923203960061073,0.0015143354038992273,"train",28440.0,"2021-11-22 09:51:43.175308","","","","","","",""
26.0,0.034036874771118164,0.0015129012258087964,"train",28460.0,"2021-11-22 09:51:47.827452","","","","","","",""
26.0,0.039625100791454315,0.0015114656147211906,"train",28480.0,"2021-11-22 09:51:52.518735","","","","","","",""
26.0,0.03312249109148979,0.0015100285746474018,"train",28500.0,"2021-11-22 09:51:57.183578","","","","","","",""
26.0,0.04092155024409294,0.0015085901096024141,"train",28520.0,"2021-11-22 09:52:01.828174","","","","","","",""
26.0,0.05651719123125076,0.0015071502236051941,"train",28540.0,"2021-11-22 09:52:07.160625","","","","","","",""
26.0,0.0672006830573082,0.0015057089206786762,"train",28560.0,"2021-11-22 09:52:11.813057","","","","","","",""
26.0,0.027340088039636612,0.0015042662048497563,"train",28580.0,"2021-11-22 09:52:16.478583","","","","","","",""
26.0,0.042510416358709335,0.0015028220801492757,"train",28600.0,"2021-11-22 09:52:21.238263","","","","","","",""
26.0,0.043121229857206345,0.0015013765506120126,"train",28620.0,"2021-11-22 09:52:26.049658","","","","","","",""
26.0,0.05386578291654587,0.0014999296202766704,"train",28640.0,"2021-11-22 09:52:31.264776","","","","","","",""
26.0,0.026157090440392494,0.0014984812931858667,"train",28660.0,"2021-11-22 09:52:36.036981","","","","","","",""
26.0,0.07062751054763794,0.0014970315733861203,"train",28680.0,"2021-11-22 09:52:41.003412","","","","","","",""
26.0,0.08638286590576172,0.0014955804649278424,"train",28700.0,"2021-11-22 09:52:46.010605","","","","","","",""
26.0,0.03102291189134121,0.001494127971865323,"train",28720.0,"2021-11-22 09:52:50.951036","","","","","","",""
26.0,0.02613920532166958,0.0014926740982567218,"train",28740.0,"2021-11-22 09:52:56.165150","","","","","","",""
26.0,0.02848651632666588,0.0014912188481640538,"train",28760.0,"2021-11-22 09:53:00.782868","","","","","","",""
26.0,0.036500900983810425,0.0014897622256531818,"train",28780.0,"2021-11-22 09:53:05.404449","","","","","","",""
26.0,0.04779038578271866,0.0014883042347938013,"train",28800.0,"2021-11-22 09:53:10.166989","","","","","","",""
